year,entity,metric,value,unit,market_share,gmv_usd,geography,methodology,source,source_date,source_type,comparability,confidence,evidence_note
2023,Combined Tokopedia + TikTok Shop,partnership_announced,1.0,binary_flag,,,Indonesia,Strategic partnership announced; businesses to combine under PT Tokopedia,TikTok Newsroom Indonesia,2023-12-11,PRIMARY,DIRECT,HIGH,Announcement; completion 2024-01-31.
2023,TikTok Shop Indonesia,transaction_functionality_paused,1.0,binary_flag,,,Indonesia,TikTok stops facilitating e-commerce transactions in TTS Indonesia effective 4 Oct 2023 17:00 WIB,TikTok Newsroom Indonesia,2023-10-04,PRIMARY,DIRECT,HIGH,Regulatory/operating shock preceding partnership.
2024,Combined Tokopedia + TikTok Shop,gmv_estimate_usd,19210000000.0,USD,,19210000000.0,Indonesia,DERIVED: 12.995B + 6.215B,Derived from derived entity GMVs,2026-08-12,DERIVED,CONDITIONAL,MEDIUM,Same additivity caveat as additive share baseline.
2024,Combined Tokopedia + TikTok Shop,market_share_pct,34.0,percent,34.0,,Indonesia,DERIVED additive baseline: 23 + 11 from separately reported 2024 standalone shares,Derived from Bisnis/MW 2024 split,2026-08-12,DERIVED,CONDITIONAL,MEDIUM,Additive only if MW methodology has no overlap between Tokopedia and TTS in 2024. Used only as baseline vs 2025 Combined.
2024,Combined under PT Tokopedia,transaction_completion,1.0,binary_flag,,,Indonesia,GoTo-TikTok transaction completion; businesses combined under PT Tokopedia; TikTok controlling stake; GoTo service fee,GoTo official press release,2024-01-31,PRIMARY,DIRECT,HIGH,Creates structural break for metrics and GoTo deconsolidation.
2024,GoTo,ecommerce_service_fee_idr,622000000000.0,IDR,,,Indonesia,GoTo e-commerce service fee after VAT; reflects ~11 months post-deal,Bisnis.com / Kontan citing GoTo FY2024 disclosures,2025-03-13,SECONDARY_HIGH,NOT COMPARABLE,HIGH,Rp622B after VAT (~Rp690B before). Partial-year; not GMV.
2024,Indonesia market,market_total_gmv_usd,56500000000.0,USD,,,Indonesia,Momentum Works Indonesia total platform ecommerce GMV,Bisnis.com / Kompas citing Momentum Works; Business Times/Databoks corroboration,2026-05-08,SECONDARY,DIRECT,MEDIUM,Indonesia GMV US$56.5B in 2024. Kompas cites MW CEO Jianggan Li press conference.
2024,Legacy Tokopedia,gmv_estimate_usd,12995000000.0,USD,,12995000000.0,Indonesia,DERIVED: Indonesia total 56.5B * Tokopedia share 0.23,Derived from Bisnis/MW total and share,2026-08-12,DERIVED,CONDITIONAL,MEDIUM,Assumes published share applies to published Indonesia total; not a separately published Tokopedia GMV.
2024,Legacy Tokopedia,internet_user_access_share_pct,9.4,percent,,,Indonesia,APJII survey access share (NOT GMV),Kompas.com summarizing APJII 2025 survey YoY comparison,2025-08-11,SECONDARY_HIGH,DIRECT,MEDIUM,Tokopedia access nearly flat vs 2025.
2024,Legacy Tokopedia,market_share_pct,23.0,percent,23.0,,Indonesia,Momentum Works platform ecommerce GMV share estimate; standalone Tokopedia in 2024 reporting,Bisnis.com citing Momentum Works Ecommerce in Southeast Asia 2026,2026-05-08,SECONDARY,CONDITIONAL,MEDIUM,Standalone Tokopedia 23% in 2024. NOT comparable to 2025 Combined without structural-break label.
2024,Shopee,gmv_estimate_usd,26000000000.0,USD,,26000000000.0,Indonesia,Secondary reproduction of MW GMV estimate,Bisnis.com citing Momentum Works,2026-05-08,SECONDARY,DIRECT,MEDIUM,Approximate as published (~US$26B).
2024,Shopee,internet_user_access_share_pct,41.65,percent,,,Indonesia,APJII survey: % of Indonesian internet users who accessed the marketplace (NOT GMV share),Kompas.com summarizing APJII Survei Penetrasi Internet 2025 (prior-year comparison),2025-08-11,SECONDARY_HIGH,DIRECT,MEDIUM,~8700 respondents; 38 provinces. Metric is access/usage not GMV. Year label is survey wave comparison for 2024 baseline cited by APJII 2025 report.
2024,Shopee,market_share_pct,46.0,percent,46.0,26000000000.0,Indonesia,Momentum Works platform ecommerce GMV share estimate as reproduced in secondary press,Bisnis.com citing Momentum Works Ecommerce in Southeast Asia 2026,2026-05-08,SECONDARY,DIRECT,MEDIUM,Exact wording: Shopee menguasai 46% pasar e-commerce nasional (2024). GMV ~US$26B. NOT official company figure.
2024,TikTok Shop Indonesia,gmv_estimate_usd,6215000000.0,USD,,6215000000.0,Indonesia,DERIVED: Indonesia total 56.5B * TTS share 0.11,Derived from Bisnis/MW total and share,2026-08-12,DERIVED,CONDITIONAL,MEDIUM,Assumes published share applies to published Indonesia total.
2024,TikTok Shop Indonesia,internet_user_access_share_pct,12.2,percent,,,Indonesia,APJII survey access share (NOT GMV),Kompas.com summarizing APJII 2025 survey YoY comparison,2025-08-11,SECONDARY_HIGH,DIRECT,MEDIUM,TTS access 12.20% in prior year per APJII 2025 report comparison.
2024,TikTok Shop Indonesia,market_share_pct,11.0,percent,11.0,,Indonesia,Momentum Works platform ecommerce GMV share estimate; standalone TTS in 2024 reporting,Bisnis.com citing Momentum Works Ecommerce in Southeast Asia 2026,2026-05-08,SECONDARY,CONDITIONAL,MEDIUM,Standalone TikTok Shop 11% in 2024.
2024,TikTok Shop SEA,gmv_estimate_usd,22600000000.0,USD,,22600000000.0,Southeast Asia,TTS SEA platform GMV prior year,Digital in Asia tracker citing MW lineage,2026-06-01,SECONDARY,CONDITIONAL,MEDIUM,~US$22.6B TTS SEA 2024 platform GMV.
2025,Combined Tokopedia + TikTok Shop,gmv_estimate_usd,21900000000.0,USD,,21900000000.0,Indonesia,Article: ~US$21.9B from 38% of US$57.7B,Bisnis.com citing Momentum Works,2026-05-08,SECONDARY,NOT COMPARABLE,MEDIUM,Combined entity only; not Legacy Tokopedia GMV.
2025,Combined Tokopedia + TikTok Shop,market_share_pct,38.0,percent,38.0,21900000000.0,Indonesia,Momentum Works reports combined TikTok Shop + Tokopedia entity share; NOT standalone Tokopedia,Bisnis.com citing Momentum Works Ecommerce in Southeast Asia 2026,2026-05-08,SECONDARY,NOT COMPARABLE,MEDIUM,STRUCTURAL BREAK: 38% is Combined. Do NOT write Tokopedia rose from 23% to 38%. Comparable only to additive 2024 Combined baseline (34% DERIVED) with caveats.
2025,Combined Tokopedia + TikTok Shop,sea_gmv_vs_shopee_ratio_pct,65.7,percent,,,Southeast Asia,MW: Combined TTS+Tokopedia GMV reached 65.7% of Shopee's SEA GMV,Momentum Works The Low Down public excerpt; Digital in Asia,2026-04-14,SECONDARY_HIGH,CONDITIONAL,MEDIUM,Regional Combined measure; does not isolate Indonesia Legacy Tokopedia.
2025,Combined Tokopedia + TikTok Shop,seller_center_launch,1.0,binary_flag,,,Indonesia,Official integrated Seller Center launch — sellers may manage Tokopedia and/or TikTok Shop,TikTok Newsroom Indonesia,2025-06-11,PRIMARY,CONDITIONAL,HIGH,Event evidence of hybrid capability. Company sample seller uplift claims not used as national GMV.
2025,GoTo,ecommerce_service_fee_idr,820000000000.0,IDR,,,Indonesia,GoTo e-commerce service fee from Tokopedia/TikTok Shop arrangement; fee on COMBINED Tokopedia+TTS GMV per CFO; NOT platform GMV,Kontan summarizing GoTo FY2025 results briefing (CFO Simon Ho),2026-03-12,SECONDARY_HIGH,NOT COMPARABLE,HIGH,Fee Rp820B in 2025 vs Rp622B (11-month 2024). Confirms fee bases on combined GMV; cannot split Legacy vs TTS. Do not convert fee to GMV without disclosed rate schedule.
2025,Indonesia market,market_total_gmv_usd,57700000000.0,USD,,,Indonesia,Momentum Works Indonesia total; +2.2% YoY; slowdown attributed partly to Tokopedia GMV rationalisation + Bukalapak exit,Bisnis.com; Kompas.id citing MW press conference; Momentum Works Low Down public note,2026-04-14,SECONDARY_HIGH,DIRECT,MEDIUM,MW public Low Down and Kompas quote CEO on Tokopedia rationalisation after TikTok acquisition.
2025,Indonesia market,tokopedia_gmv_rationalisation_noted,1.0,binary_flag,,,Indonesia,MW commentary: Indonesia slow growth partly due to Tokopedia GMV rationalisation after TikTok acquisition and Bukalapak exit,Momentum Works The Low Down; Kompas.id quoting MW CEO Jianggan Li,2026-04-14,PRIMARY,CONDITIONAL,HIGH,PRIMARY qualitative from MW public note + CEO quote. Points against naive Legacy Tokopedia boom narrative. Not a numeric share.
2025,Legacy Tokopedia,gmv_estimate_usd,,USD,,,Indonesia,No verified public standalone Tokopedia Indonesia GMV located for 2025,Gate 3B search,2026-08-12,UNKNOWN,NOT COMPARABLE,HIGH,KEEP MISSING. Do not treat Combined 21.9B as Legacy Tokopedia.
2025,Legacy Tokopedia,internet_user_access_share_pct,9.57,percent,,,Indonesia,APJII access share for Tokopedia as separately listed platform,Kompas.com summarizing APJII 2025,2025-08-11,SECONDARY_HIGH,CONDITIONAL,MEDIUM,Access 9.57% vs 9.40% prior year — near-flat. Supports weak/no Legacy attention comeback on this metric. NOT GMV. WARNING: some secondary blogs mislabeled these APJII access figures as GMV share (e.g. Digivestasi via Digital in Asia Tokopedia Explained) — rejected for GMV use.
2025,Legacy Tokopedia,market_share_pct,,percent,,,Indonesia,No verified public standalone Tokopedia Indonesia GMV share located for 2025 in free MW reproductions,Gate 3B search of MW public excerpts / Bisnis / Kompas / Digital in Asia,2026-08-12,UNKNOWN,NOT COMPARABLE,HIGH,KEEP MISSING. Residual Combined-TTS is NOT used as observed share (additivity not established by source).
2025,SEA market,sea_total_platform_gmv_usd,157600000000.0,USD,,,Southeast Asia,Momentum Works SEA platform ecommerce GMV,Momentum Works The Low Down public note; Digital in Asia tracker,2026-04-14,SECONDARY_HIGH,DIRECT,HIGH,US$157.6B (+22.8% YoY). Context for Indonesia 37% share restatement.
2025,Shopee,gmv_estimate_usd,31200000000.0,USD,,31200000000.0,Indonesia,Secondary reproduction of MW GMV estimate,Bisnis.com citing Momentum Works,2026-05-08,SECONDARY,DIRECT,MEDIUM,US$31.2B as published.
