entity,metric,year_2024_value,year_2024_unit,year_2025_value,year_2025_unit,change_value,change_unit,evidence_type,comparability,source,interpretation,notes
Shopee,market_share_pct,46.0,percent,54.0,percent,8.0,percentage_points,OBSERVED,DIRECT,Bisnis.com citing Momentum Works,Shopee strengthened GMV share leadership,Secondary industry estimate; not official filing
Shopee,gmv_estimate_usd,26000000000,USD,31200000000,USD,5200000000,USD,OBSERVED,DIRECT,Bisnis.com citing Momentum Works,Shopee absolute GMV estimate rose,~US$26B to US$31.2B as published
Shopee,internet_user_access_share_pct,41.65,percent,53.22,percent,11.57,percentage_points,OBSERVED,DIRECT,Kompas summarizing APJII 2025,Shopee access surged,Access ≠ GMV
Legacy Tokopedia,market_share_pct,23.0,percent,,percent,,percentage_points,UNKNOWN,NOT COMPARABLE,Gate 3B / MW free reproductions,Standalone 2025 share missing,Do not substitute Combined 38%
Legacy Tokopedia,gmv_estimate_usd,12995000000,USD,,USD,,USD,UNKNOWN,NOT COMPARABLE,2024 DERIVED from 56.5B×0.23; 2025 missing,Standalone 2025 GMV missing,Do not use Combined−TTS residual as observed
Legacy Tokopedia,internet_user_access_share_pct,9.4,percent,9.57,percent,0.17,percentage_points,OBSERVED,CONDITIONAL,Kompas summarizing APJII 2025,Near-flat access; no material attention comeback,Access ≠ GMV; not proof of GMV recovery
TikTok Shop Indonesia,market_share_pct,11.0,percent,,percent,,percentage_points,UNKNOWN,CONDITIONAL,2024 OBSERVED secondary MW; 2025 standalone share often not published when Combined reported,2025 TTS GMV share not separately published in Bisnis MW table,Use TTS-labeled GMV instead of inventing share
TikTok Shop Indonesia,gmv_estimate_usd,6215000000,USD,13100000000,USD,6885000000,USD,MIXED,CONDITIONAL,2024 DERIVED (56.5B×0.11); 2025 OBSERVED secondary_high TTS-labeled,TTS-labeled absolute GMV scaled up vs 2024 implied baseline,2024 value DERIVED; 2025 OBSERVED; not proven additive to Combined
TikTok Shop Indonesia,internet_user_access_share_pct,12.2,percent,27.37,percent,15.17,percentage_points,OBSERVED,CONDITIONAL,Kompas summarizing APJII 2025,Strong TTS access growth,Access ≠ GMV; branding caveat Shop Tokopedia
Combined Tokopedia + TikTok Shop,market_share_pct,34.0,percent,38.0,percent,4.0,percentage_points,MIXED,CONDITIONAL,2024 DERIVED (23+11); 2025 OBSERVED Combined MW via Bisnis,Combined entity modestly larger vs additive baseline,NOT Legacy Tokopedia; additivity caveat on 2024 baseline
Combined Tokopedia + TikTok Shop,gmv_estimate_usd,19210000000,USD,21900000000,USD,2690000000,USD,MIXED,CONDITIONAL,2024 DERIVED; 2025 OBSERVED Combined MW via Bisnis,Combined absolute GMV up vs derived baseline,NOT Legacy Tokopedia GMV
Indonesia market,market_total_gmv_usd,56500000000,USD,57700000000,USD,1200000000,USD,OBSERVED,DIRECT,Bisnis / Kompas / MW Low Down,Indonesia platform GMV nearly flat (+2.2%),MW cites Tokopedia rationalisation + Bukalapak exit
Indonesia market,tokopedia_gmv_rationalisation_noted,,binary_flag,1,binary_flag,, ,OBSERVED,CONDITIONAL,Momentum Works Low Down; Kompas quoting MW CEO,Qualitative against Legacy boom narrative,PRIMARY qualitative; not a numeric share
GoTo,ecommerce_service_fee_idr,622000000000,IDR,820000000000,IDR,198000000000,IDR,OBSERVED,NOT COMPARABLE,Kontan / Bisnis citing GoTo,Fee rose; bases on combined Tokopedia+TTS GMV,Fee ≠ platform GMV; 2024 partial year
Combined Tokopedia + TikTok Shop,seller_center_integrated,,binary_flag,1,binary_flag,, ,OBSERVED,CONDITIONAL,TikTok Newsroom 2025-06-11,Hybrid seller capability launched,Capability ≠ Legacy GMV recovery
Shopee,h1_legacy_comeback_test,,,,, ,INFERRED,,Gate 4 synthesis,H1 UNSUPPORTED for Legacy Tokopedia,See tokopedia_comeback_final_test.md
Combined Tokopedia + TikTok Shop,h2_hybrid_recovery_test,,,,, ,INFERRED,,Gate 4 synthesis,H2 PARTIALLY SUPPORTED for structure not dual GMV proof,Involvement ≠ recovery
TikTok Shop Indonesia,h3_tiktok_led_test,,,,, ,INFERRED,,Gate 4 synthesis,H3 PARTIALLY SUPPORTED strongest hypothesis,Combined split still UNKNOWN
