event_id,event_date,event_end_date,event_type,event_title,platform,description,source,source_url,source_date_accessed,impact_direction,confidence,notes
EVT001,2021-05-17,,merger,Gojek and Tokopedia combine to form GoTo,Tokopedia,Gojek and Tokopedia announced/completed combination into GoTo group creating a multi-service Indonesian tech group including e-commerce.,Reuters / company contemporaneous reporting (secondary summary used with caution),https://www.reuters.com/technology/indonesias-goto-soars-18-debut-after-11-bln-ipo-2022-04-11/,2026-08-12,unclear,MEDIUM,Ownership/structure change; not labeled as causal for market share.
EVT002,2022-04-11,,ipo,GoTo lists on Indonesia Stock Exchange,GoTo / Tokopedia,PT GoTo Gojek Tokopedia Tbk completed IDX listing (stock code GOTO).,BusinessWire GoTo listing release,https://www.businesswire.com/news/home/20220410005062/en/GoTo-Completes-Landmark-Listing-on-the-Indonesia-Stock-Exchange,2026-08-12,unclear,HIGH,Capital-markets milestone; contextual only.
EVT003,2023-09-26,,regulatory,Ministry of Trade Regulation No. 31 of 2023 on e-commerce/social commerce,TikTok Shop / marketplaces,Regulation effective 26 Sep 2023 restricting social-commerce payment facilitation and related e-commerce operator obligations.,Allen & Gledhill legal explainer summarizing Mot Reg 31/2023,https://www.allenandgledhill.com/sg/publication/articles/26694/bans-e-commerce-sales-on-social-media-platforms,2026-08-12,negative_for_social_commerce_checkout,HIGH,Capture official regulation text in later enrichment if needed; event is contextual not causal proof.
EVT004,2023-10-04,,platform_shutdown,TikTok pauses Shop retail transactions in Indonesia,TikTok Shop,TikTok official newsroom: will no longer facilitate e-commerce transactions in TikTok Shop Indonesia effective 4 Oct 2023 17:00 WIB.,TikTok Newsroom Indonesia,https://newsroom.tiktok.com/in-id/informasi-terkini-dari-tiktok-shop-indonesia,2026-08-12,negative_for_tiktok_shop,HIGH,Corroborated by Kompas and AP reporting.
EVT007,2023-12-11,,acquisition_partnership,GoTo and TikTok announce strategic e-commerce partnership,Tokopedia / TikTok Shop / GoTo,Official announcement that Tokopedia and TikTok Shop Indonesia businesses will be combined under PT Tokopedia with TikTok taking controlling stake; TikTok commits >US$1.5bn over time; shopping features in TikTok app to be operated by enlarged Tokopedia entity; pilot under regulator consultation.,TikTok Newsroom (also mirrored in GoTo/CNN coverage),https://newsroom.tiktok.com/in-id/goto-dan-tiktok-sepakati-kemitraan-strategis-e-commerce-untuk-mendorong-kemajuan-umkm-indonesia,2026-08-12,structural_break_announced,HIGH,Announcement date; completion later.
EVT005,2024-01-31,,acquisition_partnership,GoTo and TikTok complete Tokopedia transaction,Tokopedia / TikTok Shop / GoTo,GoTo announced completion of transaction with TikTok; Tokopedia and TikTok Shop Indonesia businesses combined under PT Tokopedia with TikTok holding controlling stake; GoTo retains minority stake and receives e-commerce service fee arrangement.,GoTo official press release,https://www.gotocompany.com/en/news/press/goto-and-tiktok-announce-transaction-completion-formalizing-strategic-partnership-for-indonesia,2026-08-12,structural_break,HIGH,Creates disclosure break for Tokopedia metrics in GoTo filings; do not treat as proven cause of Shopee share changes.
EVT006,2024-01-31,,market_disruption,Reuters reports TikTok completes control of Tokopedia enabling Shop restart path,Tokopedia / TikTok Shop,Reuters reported completion of TikTok deal for controlling stake in Tokopedia and context of restarting online shopping business under the enlarged entity.,Reuters,https://www.reuters.com/technology/tiktok-completes-deal-indonesias-top-e-commerce-platform-2024-01-31/,2026-08-12,unclear,HIGH,Corroborates EVT005; retained as separate citation for provenance.
EVT008,2025-04-01,,strategic_change,Tokopedia & TikTok Shop Seller Center soft launch (early April 2025),Tokopedia / TikTok Shop,TikTok newsroom (11 Jun 2025) states Seller Center soft launch in early April 2025 before official launch; sellers reported operational benefits during migration.,TikTok Newsroom Indonesia,https://newsroom.tiktok.com/in-id/tokopedia-dan-tiktok-shop-seller-center-resmi-diluncurkan,2026-08-12,hybrid_integration,MEDIUM,Exact calendar day in early April not specified in source; month-level event marker.
EVT009,2025-06-11,,strategic_change,Tokopedia & TikTok Shop Seller Center officially launched,Tokopedia / TikTok Shop,Official launch of integrated Seller Center allowing sellers to manage Tokopedia and/or TikTok Shop from one dashboard; affiliate and live shopping access highlighted; sellers may choose Tokopedia only TTS only or both.,TikTok Newsroom Indonesia,https://newsroom.tiktok.com/in-id/tokopedia-dan-tiktok-shop-seller-center-resmi-diluncurkan,2026-08-12,hybrid_integration,HIGH,Company-stated seller GMV uplift stats are self-reported samples — treat as CONTEXT not national GMV.
EVT010,2025-09-29,,regulatory,KPPU fines TikTok Nusantara for late Tokopedia acquisition notification,TikTok / Tokopedia,KPPU Decision 02/KPPU-M/2025: Rp15 billion fine for late/improper post-closing notification of Tokopedia acquisition effective 31 Jan 2024; confirms ownership 75.01% TikTok / 24.99% GoTo.,ASEAN Competition / Bisnis citing KPPU,https://www.asean-competition.org/read-news-tiktok-fined-rp15-billion-for-late-reporting-of-tokopedia-acquisition,2026-08-12,compliance_context,HIGH,Administrative notification case; not itself a market-share observation.
